Data Size (bits),Deadline (s),CPU Cycles
974888,2.0,40214130
924872,2.0,38150970
836912,2.0,34522620
620632,2.0,25601070
850760,2.0,35093850
978904,2.0,40379790
706728,2.0,29152530
827512,2.0,34134870
950232,2.0,39197070
941464,2.0,38835390
760568,2.0,31373430
686056,2.0,28299810
893880,2.0,36872550
1023064,2.0,42201390
707504,2.0,29184540
917640,2.0,37852650
933320,2.0,38499450
965152,2.0,39812520
667848,2.0,27548730
689464,2.0,28440390
813768,2.0,33567930
990080,2.0,40840800
789584,2.0,32570340
827160,2.0,34120350
913640,2.0,37687650
762184,2.0,31440090
655856,2.0,27054060
895240,2.0,36928650
952232,2.0,39279570
731680,2.0,30181800
731344,2.0,30167940
848792,2.0,35012670
764768,2.0,31546680
950136,2.0,39193110
871552,2.0,35951520
755880,2.0,31180050
852656,2.0,35172060
808128,2.0,33335280
1018368,2.0,42007680
731784,2.0,30186090
684800,2.0,28248000
886016,2.0,36548160
999768,2.0,41240430
849896,2.0,35058210
840280,2.0,34661550
635112,2.0,26198370
615144,2.0,25374690
656128,2.0,27065280
881344,2.0,36355440
935632,2.0,38594820
781888,2.0,32252880
716496,2.0,29555460
875552,2.0,36116520
801632,2.0,33067320
722008,2.0,29782830
901664,2.0,37193640
983520,2.0,40570200
689240,2.0,28431150
897312,2.0,37014120
915760,2.0,37775100
754672,2.0,31130220
770200,2.0,31770750
650640,2.0,26838900
1009120,2.0,41626200
677704,2.0,27955290
853024,2.0,35187240
948160,2.0,39111600
794528,2.0,32774280
680360,2.0,28064850
913368,2.0,37676430
714360,2.0,29467350
952072,2.0,39272970
1021648,2.0,42142980
924128,2.0,38120280
933080,2.0,38489550
785816,2.0,32414910
704536,2.0,29062110
885528,2.0,36528030
620968,2.0,25614930
621904,2.0,25653540
810032,2.0,33413820
923360,2.0,38088600
639608,2.0,26383830
933192,2.0,38494170
925104,2.0,38160540
971104,2.0,40058040
836176,2.0,34492260
881840,2.0,36375900
780360,2.0,32189850
658192,2.0,27150420
807504,2.0,33309540
927744,2.0,38269440
650648,2.0,26839230
922648,2.0,38059230
1002872,2.0,41368470
820080,2.0,33828300
830368,2.0,34252680
787944,2.0,32502690
749176,2.0,30903510
824576,2.0,34013760
696016,2.0,28710660
803392,2.0,33139920
759440,2.0,31326900
672784,2.0,27752340
719048,2.0,29660730
640152,2.0,26406270
923696,2.0,38102460
919720,2.0,37938450
880544,2.0,36322440
942480,2.0,38877300
790280,2.0,32599050
822832,2.0,33941820
997232,2.0,41135820
694816,2.0,28661160
669648,2.0,27622980
621256,2.0,25626810
902984,2.0,37248090
721328,2.0,29754780
777384,2.0,32067090
718024,2.0,29618490
859288,2.0,35445630
970768,2.0,40044180
944216,2.0,38948910
919432,2.0,37926570
693904,2.0,28623540
678896,2.0,28004460
809672,2.0,33398970
727048,2.0,29990730
885792,2.0,36538920
810504,2.0,33433290
870976,2.0,35927760
905328,2.0,37344780
851360,2.0,35118600
953728,2.0,39341280
1019040,2.0,42035400
1010128,2.0,41667780
977776,2.0,40333260
1017848,2.0,41986230
729600,2.0,30096000
679056,2.0,28011060
948736,2.0,39135360
879488,2.0,36278880
977680,2.0,40329300
768528,2.0,31701780
879744,2.0,36289440
958208,2.0,39526080
917600,2.0,37851000
617160,2.0,25457850
1019784,2.0,42066090
732528,2.0,30216780
