Data Size (bits),Deadline (s),CPU Cycles
1004552,2.0,41437770
917792,2.0,37858920
719264,2.0,29669640
728704,2.0,30059040
778568,2.0,32115930
918720,2.0,37897200
925560,2.0,38179350
636856,2.0,26270310
988160,2.0,40761600
868096,2.0,35808960
885632,2.0,36532320
826104,2.0,34076790
906184,2.0,37380090
977240,2.0,40311150
772080,2.0,31848300
850552,2.0,35085270
816736,2.0,33690360
885576,2.0,36530010
732840,2.0,30229650
710008,2.0,29287830
729632,2.0,30097320
639928,2.0,26397030
912736,2.0,37650360
810176,2.0,33419760
617840,2.0,25485900
936984,2.0,38650590
820408,2.0,33841830
819456,2.0,33802560
969768,2.0,40002930
890960,2.0,36752100
919536,2.0,37930860
717824,2.0,29610240
880944,2.0,36338940
864992,2.0,35680920
987504,2.0,40734540
996872,2.0,41120970
1015424,2.0,41886240
776904,2.0,32047290
625328,2.0,25794780
632672,2.0,26097720
761272,2.0,31402470
736184,2.0,30367590
651472,2.0,26873220
717208,2.0,29584830
804432,2.0,33182820
870968,2.0,35927430
824872,2.0,34025970
906416,2.0,37389660
750664,2.0,30964890
888552,2.0,36652770
1022048,2.0,42159480
797504,2.0,32897040
934336,2.0,38541360
697592,2.0,28775670
722552,2.0,29805270
751968,2.0,31018680
991608,2.0,40903830
886328,2.0,36561030
650400,2.0,26829000
968752,2.0,39961020
880336,2.0,36313860
868296,2.0,35817210
987720,2.0,40743450
831296,2.0,34290960
986696,2.0,40701210
647824,2.0,26722740
748216,2.0,30863910
648912,2.0,26767620
767320,2.0,31651950
961744,2.0,39671940
933472,2.0,38505720
751136,2.0,30984360
963904,2.0,39761040
833472,2.0,34380720
919088,2.0,37912380
662504,2.0,27328290
666632,2.0,27498570
867032,2.0,35765070
670072,2.0,27640470
987264,2.0,40724640
760768,2.0,31381680
672632,2.0,27746070
965824,2.0,39840240
925704,2.0,38185290
723032,2.0,29825070
889368,2.0,36686430
818304,2.0,33755040
634912,2.0,26190120
722752,2.0,29813520
835336,2.0,34457610
921152,2.0,37997520
863816,2.0,35632410
1016152,2.0,41916270
798536,2.0,32939610
913120,2.0,37666200
870376,2.0,35903010
790784,2.0,32619840
849976,2.0,35061510
803512,2.0,33144870
783976,2.0,32339010
732480,2.0,30214800
829440,2.0,34214400
806848,2.0,33282480
948016,2.0,39105660
637424,2.0,26293740
654936,2.0,27016110
915360,2.0,37758600
678720,2.0,27997200
840288,2.0,34661880
929440,2.0,38339400
885224,2.0,36515490
621328,2.0,25629780
757840,2.0,31260900
700336,2.0,28888860
888280,2.0,36641550
743400,2.0,30665250
721224,2.0,29750490
630424,2.0,26004990
1024000,2.0,42240000
667640,2.0,27540150
770232,2.0,31772070
952272,2.0,39281220
811696,2.0,33482460
904352,2.0,37304520
789864,2.0,32581890
699952,2.0,28873020
669384,2.0,27612090
687072,2.0,28341720
910808,2.0,37570830
736816,2.0,30393660
908872,2.0,37490970
847584,2.0,34962840
982352,2.0,40522020
828120,2.0,34159950
991944,2.0,40917690
662896,2.0,27344460
708464,2.0,29224140
685176,2.0,28263510
676432,2.0,27902820
642520,2.0,26503950
956680,2.0,39463050
627728,2.0,25893780
661912,2.0,27303870
743504,2.0,30669540
739808,2.0,30517080
899336,2.0,37097610
677288,2.0,27938130
673168,2.0,27768180
981504,2.0,40487040
763984,2.0,31514340
716976,2.0,29575260
728056,2.0,30032310
755264,2.0,31154640
915720,2.0,37773450
733776,2.0,30268260
734856,2.0,30312810
816104,2.0,33664290
1008784,2.0,41612340
803432,2.0,33141570
982496,2.0,40527960
666456,2.0,27491310
695296,2.0,28680960
908432,2.0,37472820
991944,2.0,40917690
953744,2.0,39341940
630256,2.0,25998060
757400,2.0,31242750
996888,2.0,41121630
953152,2.0,39317520
706128,2.0,29127780
1012576,2.0,41768760
618360,2.0,25507350
808976,2.0,33370260
672304,2.0,27732540
643568,2.0,26547180
904864,2.0,37325640
665880,2.0,27467550
852816,2.0,35178660
943160,2.0,38905350
656712,2.0,27089370
614896,2.0,25364460
789560,2.0,32569350
774352,2.0,31942020
913552,2.0,37684020
986768,2.0,40704180
913968,2.0,37701180
845880,2.0,34892550
930896,2.0,38399460
817760,2.0,33732600
795848,2.0,32828730
964608,2.0,39790080
871616,2.0,35954160
634032,2.0,26153820
763848,2.0,31508730
867456,2.0,35782560
861344,2.0,35530440
976320,2.0,40273200
653744,2.0,26966940
709544,2.0,29268690
876856,2.0,36170310
775952,2.0,32008020
743224,2.0,30657990
882656,2.0,36409560
679736,2.0,28039110
740336,2.0,30538860
951824,2.0,39262740
954800,2.0,39385500
818856,2.0,33777810
626288,2.0,25834380
822096,2.0,33911460
733776,2.0,30268260
887600,2.0,36613500
627544,2.0,25886190
907904,2.0,37451040
639976,2.0,26399010
866568,2.0,35745930
667352,2.0,27528270
715168,2.0,29500680
979888,2.0,40420380
737744,2.0,30431940
677280,2.0,27937800
726720,2.0,29977200
711184,2.0,29336340
632608,2.0,26095080
877496,2.0,36196710
740648,2.0,30551730
852024,2.0,35145990
623736,2.0,25729110
1005944,2.0,41495190
680496,2.0,28070460
638984,2.0,26358090
859000,2.0,35433750
1018864,2.0,42028140
794096,2.0,32756460
806064,2.0,33250140
905144,2.0,37337190
677480,2.0,27946050
789984,2.0,32586840
823824,2.0,33982740
722864,2.0,29818140
991056,2.0,40881060
801448,2.0,33059730
770744,2.0,31793190
721008,2.0,29741580
890104,2.0,36716790
1018728,2.0,42022530
811440,2.0,33471900
965208,2.0,39814830
998472,2.0,41186970
895552,2.0,36941520
