Data Size (bits),Deadline (s),CPU Cycles
2776,6.377071808658409e-05,114510
3032,6.933665714661614e-05,125070
2424,6.053365270934722e-05,99990
1080,7.787585212195734e-05,44550
2320,7.971166596844955e-05,95700
2032,5.999706925453911e-05,83820
2408,8.379004855657747e-05,99330
2584,7.729463825594786e-05,106590
2160,7.914788407363841e-05,89100
2504,7.565711701917092e-05,103290
968,6.068144766956047e-05,39930
2648,9.610899163349416e-05,109230
3160,5.4319015597982866e-05,130350
2168,5.76886781938965e-05,89430
1592,7.530100032767993e-05,65670
2568,9.468238726295555e-05,105930
2080,6.306902234630442e-05,85800
2528,5.713366727975161e-05,104280
800,8.333554313992713e-05,33000
2808,5.1997318740755636e-05,115830
2984,6.983918786023611e-05,123090
1736,8.510740670574261e-05,71610
1464,5.5391588150309006e-05,60390
2496,9.485622690058197e-05,102960
2880,5.3342201742591544e-05,118800
1872,8.821794949829891e-05,77220
2104,8.13142211718048e-05,86790
1936,5.15472632785468e-05,79860
1400,6.071427722927755e-05,57750
2200,5.346409834035649e-05,90750
2872,7.479085158104714e-05,118470
2904,5.717355435150781e-05,119790
3000,8.969312605231283e-05,123750
2632,6.764552636415541e-05,108570
1064,8.06891136020214e-05,43890
1536,5.7947788278281116e-05,63360
2760,8.71595515928437e-05,113850
1304,9.24901220869663e-05,53790
2384,5.101228901430359e-05,98340
1656,7.60498771734086e-05,68310
960,7.393959030233616e-05,39600
2272,7.499708248371459e-05,93720
1616,6.970187945383195e-05,66660
2536,9.294308443621804e-05,104610
1512,8.65203748885887e-05,62370
2472,5.122896246115477e-05,101970
1448,7.724872229533909e-05,59730
800,9.024183047856023e-05,33000
984,8.188439511504733e-05,40590
2496,8.114958052807177e-05,102960
1712,8.9785358177814e-05,70620
2584,6.836292138562435e-05,106590
2288,7.652777544070887e-05,94380
2592,6.91498791905201e-05,106920
2192,9.954430876624752e-05,90420
1520,8.278277462230481e-05,62700
1616,8.132576399977283e-05,66660
1752,6.693018848428944e-05,72270
3112,5.2338603850291905e-05,128370
920,8.097472754630544e-05,37950
2032,8.629453998812583e-05,83820
968,5.3717911551335276e-05,39930
2728,7.354778436598318e-05,112530
1544,9.999772227599048e-05,63690
2840,8.67781569144944e-05,117150
2992,9.916543092322145e-05,123420
2976,6.0247329963837e-05,122760
1352,6.160315402719424e-05,55770
1896,7.099003965228941e-05,78210
1640,7.247796754356122e-05,67650
1784,6.162604300738973e-05,73590
1904,5.1681987333884615e-05,78540
928,5.77727884433215e-05,38280
2400,5.12703266182704e-05,99000
816,6.746283456907476e-05,33660
1384,5.489892311891522e-05,57090
2584,8.754916214412923e-05,106590
880,6.626991491525262e-05,36300
1560,5.7275424847514905e-05,64350
1704,6.666124371942382e-05,70290
1712,9.821674183270374e-05,70620
3064,7.054089491821947e-05,126390
848,5.8334472079712636e-05,34980
2568,9.240607555197883e-05,105930
1000,5.991755463917699e-05,41250
944,6.651353779241996e-05,38940
2968,7.27799996879253e-05,122430
3168,7.475016586140277e-05,130680
2808,5.3308032707751755e-05,115830
1448,8.671340581095969e-05,59730
1784,5.828342972368886e-05,73590
1000,8.136936645248156e-05,41250
2624,9.622696041243317e-05,108240
2432,6.258374066254443e-05,100320
3112,9.367752176634808e-05,128370
3088,6.705764277912086e-05,127380
1584,9.525820713510462e-05,65340
1992,9.250149685562552e-05,82170
2592,8.684172898295724e-05,106920
1072,5.321638642067449e-05,44220
2768,6.677621016944311e-05,114180
1536,9.874835235747264e-05,63360
2656,9.067403559520854e-05,109560
2944,5.219768999441545e-05,121440
2520,7.324838577768547e-05,103950
3048,8.789495708642676e-05,125730
1816,6.257303524923563e-05,74910
1312,7.384204524427701e-05,54120
1704,5.949568963415133e-05,70290
1296,9.442510796198774e-05,53460
1000,9.540789632850609e-05,41250
2336,8.369885814371929e-05,96360
2544,9.105513048585976e-05,104940
2264,9.580727868717447e-05,93390
3072,5.9132333593109044e-05,126720
2320,8.810182138096472e-05,95700
2072,5.6413196957393134e-05,85470
1792,8.536759904798732e-05,73920
2744,6.605324969398506e-05,113190
2232,8.513646826468574e-05,92070
1872,6.567890060307251e-05,77220
2592,7.899931982664819e-05,106920
816,6.0510948182723975e-05,33660
944,5.921724106685374e-05,38940
2264,9.873687576363168e-05,93390
3192,5.350685815611116e-05,131670
2256,9.94813936410621e-05,93060
800,5.020324086933448e-05,33000
2144,8.903349008032132e-05,88440
2616,7.135983054985798e-05,107910
2904,8.663498111619807e-05,119790
848,9.477597467427238e-05,34980
1728,9.476273674179978e-05,71280
2312,6.303798636846163e-05,95370
1600,8.89046077399752e-05,66000
1872,7.34433775557354e-05,77220
1808,5.499430739337728e-05,74580
2816,7.985372681732498e-05,116160
1952,5.457781167964868e-05,80520
2560,8.33212401014324e-05,105600
1056,7.287431390087236e-05,43560
2744,8.702644718775414e-05,113190
2208,6.378761722303128e-05,91080
1736,8.641634005956736e-05,71610
2096,5.443533544597748e-05,86460
3120,8.37613192655723e-05,128700
912,5.1007609259603226e-05,37620
2600,8.739744559526654e-05,107250
2224,5.7116091532039706e-05,91740
2536,7.082718151772065e-05,104610
2080,8.490916374863966e-05,85800
808,6.770950355039536e-05,33330
2736,5.0208600425899664e-05,112860
2056,5.135232332105167e-05,84810
2000,9.438315926833715e-05,82500
856,7.818878301454408e-05,35310
1656,5.4208320019585315e-05,68310
1064,6.654933372898838e-05,43890
2376,5.255527468320932e-05,98010
2952,5.486297676383267e-05,121770
1624,6.879943281963787e-05,66990
3152,6.405110476728117e-05,130020
2128,5.661996290412112e-05,87780
1680,7.988838546526438e-05,69300
1152,5.560187406223661e-05,47520
2096,7.307964921408167e-05,86460
1112,9.917766810577757e-05,45870
