Data Size (bits),Deadline (s),CPU Cycles
1656,0.004569748988569153,68310
1160,0.004466026014188482,47850
928,0.004199529674065186,38280
3144,0.003649756647918563,129690
1136,0.004250967283469256,46860
1616,0.0035253399240299894,66660
1824,0.004054823096057481,75240
1536,0.003136733373947837,63360
1376,0.004371124716508364,56760
944,0.0035631530000587225,38940
1536,0.003284843499364929,63360
1008,0.0035626330051294506,41580
2488,0.003077097630014948,102630
2352,0.003119691689234401,97020
2496,0.0030057474189493657,102960
2920,0.003540441484182778,120450
2712,0.003027927207642614,111870
1640,0.0040462719227164655,67650
1160,0.0044659414674116426,47850
1144,0.003485985527752566,47190
1040,0.004569261145608806,42900
1288,0.0043661412564787545,53130
1440,0.004705515043590497,59400
1424,0.004509145263516945,58740
1144,0.0035432986949532792,47190
1328,0.00475623017920674,54780
1448,0.004602447779470968,59730
2120,0.003239905085819976,87450
1560,0.004972240324089395,64350
2888,0.004529866227223532,119130
1424,0.0038890006720300957,58740
1256,0.0034852044519751682,51810
3016,0.004367664006279653,124410
1992,0.003993240075311002,82170
2528,0.004215809054223442,104280
2472,0.004345682106540062,101970
1608,0.003283465854408873,66330
848,0.0035334244148622017,34980
1624,0.004272630734523507,66990
2248,0.0032315262823412066,92730
2568,0.004456952680724411,105930
1720,0.0031265413974836138,70950
3200,0.004924610145691204,132000
1912,0.0033041541228306134,78870
1016,0.00388426527353664,41910
2600,0.004883968157678706,107250
2584,0.004844656438233417,106590
2504,0.0044817527268338625,103290
1200,0.003585429455300006,49500
1576,0.00450824839061095,65010
2968,0.004337680859082338,122430
1720,0.004559227850755206,70950
2528,0.0036541105090579454,104280
1384,0.004409623406583333,57090
1584,0.004787709403734658,65340
984,0.0035749708751477275,40590
1264,0.0031335854583662255,52140
1032,0.004081375873400496,42570
3104,0.0036070735500256705,128040
896,0.003874902496099125,36960
1488,0.004061102285794027,61380
800,0.003987836907073855,33000
1992,0.003157512806167627,82170
1696,0.004110767662386344,69960
3064,0.004041645760535341,126390
1456,0.0038524481306367346,60060
3120,0.0033721434393056138,128700
1608,0.003923388901844952,66330
2448,0.003762948575419908,100980
1792,0.003254174957486451,73920
2584,0.0030308738443180993,106590
2264,0.0034973953932058662,93390
912,0.0039107444770633305,37620
1640,0.003805007720317876,67650
1344,0.004484054285315196,55440
2848,0.004604190861073657,117480
2672,0.003230950709333871,110220
928,0.003095105776535785,38280
2824,0.004428445041548181,116490
2192,0.004807864668352353,90420
2064,0.004942783458619056,85140
2352,0.00378557690300775,97020
1720,0.0036991289749301005,70950
1024,0.004339258407452499,42240
1824,0.004228257549244821,75240
1120,0.004651825463820299,46200
848,0.004549493172246138,34980
1104,0.0037191640471409323,45540
1568,0.004845030999675906,64680
872,0.0036718022494805908,35970
