user_id,user_type,rat_id,rat_name,rat_type,selected,uplink_rate,downlink_rate,effective_e2e_rate
0,URLLC,0,6G_1,6G,1,6041488.563117643,40000000.0,6041488.563117643
1,URLLC,1,6G_2,6G,1,43978221.51199384,40000000.0,40000000.0
2,URLLC,0,6G_1,6G,1,60536242.111003816,40000000.0,40000000.0
3,URLLC,1,6G_2,6G,1,82003643.14439714,40000000.0,40000000.0
4,URLLC,0,6G_1,6G,1,77256221.09914263,40000000.0,40000000.0
5,URLLC,1,6G_2,6G,1,77247054.68832517,40000000.0,40000000.0
6,URLLC,1,6G_2,6G,1,73754853.92394824,40000000.0,40000000.0
7,URLLC,0,6G_1,6G,1,39150256.62151073,40000000.0,39150256.62151073
8,URLLC,0,6G_1,6G,1,39816280.45925542,40000000.0,39816280.45925542
9,URLLC,1,6G_2,6G,1,33915553.336866364,40000000.0,33915553.336866364
10,URLLC,1,6G_2,6G,1,50749722.80354234,40000000.0,40000000.0
11,URLLC,1,6G_2,6G,1,89406151.65267426,40000000.0,40000000.0
12,URLLC,0,6G_1,6G,1,65348979.5085292,40000000.0,40000000.0
13,URLLC,0,6G_1,6G,1,48329148.31178026,40000000.0,40000000.0
14,URLLC,0,6G_1,6G,1,35780614.579806186,40000000.0,35780614.579806186
15,URLLC,0,6G_1,6G,1,51987551.34511519,40000000.0,40000000.0
16,URLLC,0,6G_1,6G,1,57349925.43470624,40000000.0,40000000.0
17,URLLC,0,6G_1,6G,1,23194813.97301263,40000000.0,23194813.97301263
18,URLLC,1,6G_2,6G,1,88401335.20261349,40000000.0,40000000.0
19,URLLC,1,6G_2,6G,1,73499584.71232028,40000000.0,40000000.0
20,URLLC,6,Satellite_1,Satellite,1,2983275.450839806,14411738.088085657,2983275.450839806
21,URLLC,6,Satellite_1,Satellite,1,5111468.49723872,14411738.088085657,5111468.49723872
22,URLLC,6,Satellite_1,Satellite,1,1263112.5146943904,14411738.088085657,1263112.5146943904
23,URLLC,7,Satellite_2,Satellite,1,3044070.9078147872,14411738.088085657,3044070.9078147872
24,URLLC,7,Satellite_2,Satellite,1,5939451.195449012,14411738.088085657,5939451.195449012
25,URLLC,7,Satellite_2,Satellite,1,10859475.342356272,14411738.088085657,10859475.342356272
26,URLLC,7,Satellite_2,Satellite,1,10123335.705244355,14411738.088085657,10123335.705244355
27,URLLC,7,Satellite_2,Satellite,1,1119475.2884395497,14411738.088085657,1119475.2884395497
28,URLLC,6,Satellite_1,Satellite,1,11939784.64784582,14411738.088085657,11939784.64784582
29,URLLC,7,Satellite_2,Satellite,1,4710699.800390266,14411738.088085657,4710699.800390266
30,URLLC,6,Satellite_1,Satellite,1,2779519.5019115093,14411738.088085657,2779519.5019115093
31,URLLC,7,Satellite_2,Satellite,1,10836533.66830551,14411738.088085657,10836533.66830551
32,URLLC,6,Satellite_1,Satellite,1,459209.03497996385,14411738.088085657,459209.03497996385
33,URLLC,7,Satellite_2,Satellite,1,3154190.124896826,14411738.088085657,3154190.124896826
34,URLLC,7,Satellite_2,Satellite,1,2062198.8964750678,14411738.088085657,2062198.8964750678
35,URLLC,6,Satellite_1,Satellite,1,4296084.844071647,14411738.088085657,4296084.844071647
36,URLLC,7,Satellite_2,Satellite,1,6063092.360172666,14411738.088085657,6063092.360172666
37,URLLC,6,Satellite_1,Satellite,1,10766546.724471305,14411738.088085657,10766546.724471305
38,URLLC,6,Satellite_1,Satellite,1,9919444.999918712,14411738.088085657,9919444.999918712
39,URLLC,7,Satellite_2,Satellite,1,5511639.329613472,14411738.088085657,5511639.329613472
40,URLLC,0,6G_1,6G,1,86969553.7093059,40000000.0,40000000.0
41,URLLC,0,6G_1,6G,1,67210706.2480377,40000000.0,40000000.0
42,URLLC,5,WiFi_4,WiFi,1,30570757.33415146,20000000.0,20000000.0
43,URLLC,0,6G_1,6G,1,50008087.47261886,40000000.0,40000000.0
44,URLLC,1,6G_2,6G,1,73343065.73609145,40000000.0,40000000.0
45,URLLC,0,6G_1,6G,1,51266824.60412062,40000000.0,40000000.0
46,URLLC,0,6G_1,6G,1,73900225.76922576,40000000.0,40000000.0
47,URLLC,1,6G_2,6G,1,79831189.766323,40000000.0,40000000.0
48,URLLC,1,6G_2,6G,1,22240265.35599528,40000000.0,22240265.35599528
