rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,193236280.36494642,63214935.195974514,130021345.16897193,300000000.0,0.6441209345498214,0.21071645065324837,0.4334044838965731,23,52
1,6G_2,6G,uplink,181587545.4821229,69509937.47425881,112077608.0078641,300000000.0,0.605291818273743,0.2316997915808627,0.37359202669288033,25,48
2,WiFi_1,WiFi,uplink,56208153.040851586,20817645.915898867,35390507.12495272,160000000.0,0.3513009565053224,0.1301102869743679,0.22119066953095448,14,27
3,WiFi_2,WiFi,uplink,48507765.074667275,19958852.186774105,28548912.88789317,160000000.0,0.30317353171667044,0.12474282616733816,0.17843070554933232,16,24
4,WiFi_3,WiFi,uplink,40199580.336263046,10399803.987743732,29799776.34851931,160000000.0,0.251247377101644,0.06499877492339833,0.18624860217824568,11,25
5,WiFi_4,WiFi,uplink,42083343.186797366,10471112.472122999,31612230.71467437,160000000.0,0.26302089491748354,0.06544445295076874,0.1975764419667148,11,24
6,Satellite_1,Satellite,uplink,15964643.10294762,8865307.017404951,7099336.0855426695,20000000.0,0.798232155147381,0.44326535087024754,0.35496680427713345,29,25
7,Satellite_2,Satellite,uplink,13617139.933135632,6990160.146398487,6626979.786737146,20000000.0,0.6808569966567817,0.3495080073199243,0.3313489893368573,21,25
8,Satellite_1_down,Satellite,downlink,8505537.193154171,0.0,8505537.193154171,10000000.0,0.8505537193154171,0.0,0.8505537193154171,0,25
9,Satellite_2_down,Satellite,downlink,8202346.355724779,0.0,8202346.355724779,10000000.0,0.8202346355724779,0.0,0.8202346355724779,0,25
