rat_id,rat_name,rat_type,link_direction,used_bandwidth_total,used_bandwidth_urllc,used_bandwidth_embb,capacity,utilization_total,utilization_urllc,utilization_embb,connected_urllc_count,connected_embb_count
0,6G_1,6G,uplink,85569366.33109397,47966271.23378913,37603095.09730483,300000000.0,0.28523122110364657,0.1598875707792971,0.12534365032434944,20,20
1,6G_2,6G,uplink,108993327.6464953,52600763.355103284,56392564.29139201,300000000.0,0.3633110921549843,0.17533587785034427,0.18797521430464004,20,20
2,WiFi_1,WiFi,uplink,13177377.404986205,0.0,13177377.404986205,160000000.0,0.08235860878116377,0.0,0.08235860878116377,0,10
3,WiFi_2,WiFi,uplink,13033698.051916942,0.0,13033698.051916942,160000000.0,0.08146061282448089,0.0,0.08146061282448089,0,10
4,WiFi_3,WiFi,uplink,15988150.624853946,0.0,15988150.624853946,160000000.0,0.09992594140533717,0.0,0.09992594140533717,0,10
5,WiFi_4,WiFi,uplink,12939503.72892941,0.0,12939503.72892941,160000000.0,0.0808718983058088,0.0,0.0808718983058088,0,10
6,Satellite_1,Satellite,uplink,6317242.527165357,2824328.8211528594,3492913.7060124977,20000000.0,0.3158621263582678,0.14121644105764297,0.17464568530062488,10,10
7,Satellite_2,Satellite,uplink,6368456.8959714025,3132196.396732399,3236260.4992390033,20000000.0,0.31842284479857014,0.15660981983661995,0.16181302496195016,10,10
8,Satellite_1_down,Satellite,downlink,4886928.135436334,0.0,4886928.135436334,10000000.0,0.48869281354363336,0.0,0.48869281354363336,0,10
9,Satellite_2_down,Satellite,downlink,4482719.5400665905,0.0,4482719.5400665905,10000000.0,0.44827195400665903,0.0,0.44827195400665903,0,10
