user_id,user_type,rat_id,rat_name,rat_type,selected,uplink_rate,downlink_rate,effective_e2e_rate
0,URLLC,0,6G_1,6G,1,53843284.567260504,40000000.0,40000000.0
1,URLLC,1,6G_2,6G,1,11497989.43177512,40000000.0,11497989.43177512
2,URLLC,0,6G_1,6G,1,63431095.066910155,40000000.0,40000000.0
3,URLLC,1,6G_2,6G,1,80999350.94090794,40000000.0,40000000.0
4,URLLC,0,6G_1,6G,1,55346386.65735001,40000000.0,40000000.0
5,URLLC,1,6G_2,6G,1,69950633.90614823,40000000.0,40000000.0
6,URLLC,1,6G_2,6G,1,26925751.844326135,40000000.0,26925751.844326135
7,URLLC,0,6G_1,6G,1,25832959.75810702,40000000.0,25832959.75810702
8,URLLC,0,6G_1,6G,1,26492653.849337455,40000000.0,26492653.849337455
9,URLLC,1,6G_2,6G,1,10172782.121229827,40000000.0,10172782.121229827
10,URLLC,1,6G_2,6G,1,55874013.11504857,40000000.0,40000000.0
11,URLLC,1,6G_2,6G,1,68772309.28352995,40000000.0,40000000.0
12,URLLC,0,6G_1,6G,1,89861832.64033826,40000000.0,40000000.0
13,URLLC,0,6G_1,6G,1,23488146.56052601,40000000.0,23488146.56052601
14,URLLC,0,6G_1,6G,1,75238330.52432428,40000000.0,40000000.0
15,URLLC,0,6G_1,6G,1,79261234.26887667,40000000.0,40000000.0
16,URLLC,0,6G_1,6G,1,25421638.195794787,40000000.0,25421638.195794787
17,URLLC,0,6G_1,6G,1,23178257.986834485,40000000.0,23178257.986834485
18,URLLC,1,6G_2,6G,1,83647417.63922314,40000000.0,40000000.0
19,URLLC,1,6G_2,6G,1,61873214.89012738,40000000.0,40000000.0
20,URLLC,6,Satellite_1,Satellite,1,4276509.610800141,14411738.088085657,4276509.610800141
21,URLLC,6,Satellite_1,Satellite,1,4874411.967713131,14411738.088085657,4874411.967713131
22,URLLC,6,Satellite_1,Satellite,1,7254736.402742743,14411738.088085657,7254736.402742743
23,URLLC,7,Satellite_2,Satellite,1,6203575.658083758,14411738.088085657,6203575.658083758
24,URLLC,7,Satellite_2,Satellite,1,6436061.499703951,14411738.088085657,6436061.499703951
25,URLLC,7,Satellite_2,Satellite,1,12766759.397567237,14411738.088085657,12766759.397567237
26,URLLC,7,Satellite_2,Satellite,1,8514009.308703847,14411738.088085657,8514009.308703847
27,URLLC,7,Satellite_2,Satellite,1,7618901.299903869,14411738.088085657,7618901.299903869
28,URLLC,6,Satellite_1,Satellite,1,6230385.043549289,14411738.088085657,6230385.043549289
29,URLLC,7,Satellite_2,Satellite,1,4842623.253662011,14411738.088085657,4842623.253662011
30,URLLC,6,Satellite_1,Satellite,1,2379793.831161668,14411738.088085657,2379793.831161668
31,URLLC,7,Satellite_2,Satellite,1,7650663.227907378,14411738.088085657,7650663.227907378
32,URLLC,6,Satellite_1,Satellite,1,12673250.39646145,14411738.088085657,12673250.39646145
33,URLLC,7,Satellite_2,Satellite,1,3740631.66962211,14411738.088085657,3740631.66962211
34,URLLC,7,Satellite_2,Satellite,1,6916907.517042045,14411738.088085657,6916907.517042045
35,URLLC,6,Satellite_1,Satellite,1,5532286.145442129,14411738.088085657,5532286.145442129
36,URLLC,7,Satellite_2,Satellite,1,1624312.799972939,14411738.088085657,1624312.799972939
37,URLLC,6,Satellite_1,Satellite,1,7932390.078040356,14411738.088085657,7932390.078040356
38,URLLC,6,Satellite_1,Satellite,1,1551398.9682669267,14411738.088085657,1551398.9682669267
39,URLLC,6,Satellite_1,Satellite,1,4651816.965240834,14411738.088085657,4651816.965240834
40,URLLC,0,6G_1,6G,1,80935959.97365104,40000000.0,40000000.0
41,URLLC,0,6G_1,6G,1,39470015.91161667,40000000.0,39470015.91161667
42,URLLC,0,6G_1,6G,1,9625824.621886177,40000000.0,9625824.621886177
43,URLLC,0,6G_1,6G,1,43401086.71590552,40000000.0,40000000.0
44,URLLC,1,6G_2,6G,1,48861583.70889036,40000000.0,40000000.0
45,URLLC,0,6G_1,6G,1,108462659.76357916,40000000.0,40000000.0
46,URLLC,0,6G_1,6G,1,27435365.86015774,40000000.0,27435365.86015774
47,URLLC,1,6G_2,6G,1,49316026.01745526,40000000.0,40000000.0
48,URLLC,1,6G_2,6G,1,51655124.093718685,40000000.0,40000000.0
49,URLLC,1,6G_2,6G,1,44791852.178652905,40000000.0,40000000.0
50,URLLC,1,6G_2,6G,1,18821197.482606914,40000000.0,18821197.482606914
51,URLLC,1,6G_2,6G,1,70875414.1706842,40000000.0,40000000.0
52,URLLC,0,6G_1,6G,1,19091672.25746976,40000000.0,19091672.25746976
53,URLLC,0,6G_1,6G,1,30974950.54615478,40000000.0,30974950.54615478
54,URLLC,0,6G_1,6G,1,75142755.73126064,40000000.0,40000000.0
55,URLLC,1,6G_2,6G,1,30339445.691797197,40000000.0,30339445.691797197
56,URLLC,1,6G_2,6G,1,47482242.6931273,40000000.0,40000000.0
57,URLLC,1,6G_2,6G,1,41147869.72552763,40000000.0,40000000.0
58,URLLC,1,6G_2,6G,1,20155945.3854618,40000000.0,20155945.3854618
59,URLLC,1,6G_2,6G,1,74083080.4765167,40000000.0,40000000.0
60,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
60,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
61,eMBB,1,6G_2,6G,1,19634742.994034037,40000000.0,19634742.994034037
61,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
62,eMBB,0,6G_1,6G,1,7646905.04701012,40000000.0,7646905.04701012
62,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
63,eMBB,0,6G_1,6G,1,29581019.27240276,40000000.0,29581019.27240276
63,eMBB,2,WiFi_1,WiFi,1,20000000.0,20000000.0,20000000.0
64,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
64,eMBB,3,WiFi_2,WiFi,1,18864153.190733608,20000000.0,18864153.190733608
65,eMBB,0,6G_1,6G,1,27922330.497877277,40000000.0,27922330.497877277
65,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
66,eMBB,0,6G_1,6G,1,40000000.0,40000000.0,40000000.0
66,eMBB,4,WiFi_3,WiFi,1,20000000.0,20000000.0,20000000.0
67,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
67,eMBB,2,WiFi_1,WiFi,1,20000000.0,20000000.0,20000000.0
68,eMBB,0,6G_1,6G,1,25927574.104825582,40000000.0,25927574.104825582
68,eMBB,2,WiFi_1,WiFi,1,6766282.295504163,20000000.0,6766282.295504163
69,eMBB,1,6G_2,6G,1,40000000.0,40000000.0,40000000.0
69,eMBB,3,WiFi_2,WiFi,1,20000000.0,20000000.0,20000000.0
