seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.1,0.168646473830589,0.1843232369152945,22.11878842983534,0.0,12.0
1,0.1,0.17433418095308664,0.1871670904765433,22.4600508571852,0.0,12.0
2,0.16666666666666666,0.18202133752856603,0.25767733543094967,30.92128025171396,0.0,20.0
3,0.15,0.17600182814703838,0.23800091407351917,28.5601096888223,0.0,18.0
4,0.13333333333333333,0.17337105173174888,0.22001885919920777,26.402263103904932,0.0,16.0
5,0.15,0.17006919900268563,0.23503459950134284,28.20415194016114,0.0,18.0
6,0.13333333333333333,0.16967255412126672,0.21816961039396668,26.180353247276003,0.0,16.0
7,0.15,0.1741565995855439,0.23707829979277192,28.44939597513263,0.0,18.0
8,0.11666666666666667,0.16687065183534686,0.20010199258434008,24.01223911012081,0.0,14.0
9,0.15,0.17371953659261796,0.236859768296309,28.42317219555708,0.0,18.0
