seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,42.63840781342962,24.966453988382014,22.435491142653568,22.172652180773998,22.130985224677666,22.11878842983534
1,42.27978303778124,23.31633248132765,22.774717399008704,22.63277929413836,22.542054637366526,22.4600508571852
2,51.72905828400514,32.40910003203234,31.555971318106973,31.20860039776008,30.97117422483923,30.92128025171396
3,47.365659877196734,29.90639226876942,28.972064579849956,28.71465835690261,28.578962363380285,28.5601096888223
4,45.78521326604566,27.73533882205665,26.727011073273577,26.55736725005401,26.457406518849226,26.402263103904932
5,47.15419487378753,32.07243986832634,28.617074353997562,28.43085578027459,28.34163625242871,28.20415194016114
6,45.631743554327926,27.20781417176032,26.494657660386245,26.303815658650436,26.232074506947633,26.180353247276003
7,49.82392127975966,31.06271639018474,29.21789934952279,28.79387845667001,28.552655240615827,28.44939597513263
8,43.2840932532193,26.97084805070604,26.27484365291092,24.106019208354468,24.04376283391676,24.01223911012081
9,49.139285052225716,29.72173051379891,28.972034159796504,28.57652312012824,28.52635447845323,28.42317219555708
average,46.48313602917786,28.53691665873444,27.20417646895068,26.749714970370682,26.63770662814751,26.573180479970944
