seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,43.05424322238981,39.84738591905976,37.0290767807999,34.626296678646575,34.42321043820204,34.18978024218638
1,48.16557960215726,48.16557960215726,37.33602581017501,31.902697483308746,28.71691210356876,28.612938168084582
2,47.22917453331714,42.17712412709969,41.175834652941916,33.83911107978418,29.011563893258664,26.68297927097896
3,46.06477834224602,46.06477834224602,34.99393204652646,33.56440292271722,33.36483949142346,31.010592636143883
4,48.29970584858994,38.770564288704286,28.9020474160014,28.795244471885866,28.781895934337566,28.77871046184808
5,47.32408289795144,46.84979505877763,41.75860103297687,39.98290948959729,35.85851357583175,34.77296508851738
6,44.82521765696436,37.689298125999656,28.838695550226078,28.74537208748061,24.68507944763887,24.65904017904631
7,43.51815182200928,43.51815182200928,41.13581541431861,36.07118222490038,36.07118222490038,35.55961398416
8,46.49144794640645,44.06880397024338,33.1739283523054,30.68158415,30.66536578142857,30.641777805714284
9,43.972787798140345,43.972787798140345,43.972787798140345,38.13685564597958,34.396257993559225,31.046489902823264
average,45.894516967017196,43.11242690544373,36.8316744854412,33.63456562343005,31.59748208841493,30.595488773950315
