seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.6066666666666667,0.43997163813337636,0.8266524857333548,247.99574572000645,0.0,182.0
1,0.62,0.43261582716387514,0.8363079135819376,250.89237407458126,0.0,186.0
2,0.66,0.4267670406772787,0.8733835203386394,262.0150561015918,0.0,198.0
3,0.68,0.4068590654099055,0.8834295327049528,265.02885981148586,0.0,204.0
4,0.64,0.4298722594721723,0.854936129736086,256.4808389208258,0.0,192.0
5,0.5333333333333333,0.3826389191238947,0.7246527928952807,217.3958378685842,0.0,160.0
6,0.68,0.460748051619458,0.910374025809729,273.1122077429187,0.0,204.0
7,0.62,0.38750563103903046,0.8137528155195152,244.12584465585456,0.0,186.0
8,0.64,0.43185664354024783,0.8559283217701238,256.77849653103715,0.0,192.0
9,0.68,0.40524513780941246,0.8826225689047063,264.7867706714119,0.0,204.0
