seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,48.487388895561956,45.015671344871436,45.015671344871436,41.29405089792483,40.01301462242945,38.74484383689881
1,50.30559244916083,50.30559244916083,42.47889595690785,31.57984623593967,31.17763882219341,31.086915084116722
2,44.215756622653956,44.215756622653956,38.75122783675417,35.7044348059738,32.3864448566804,31.462545514686074
3,51.84086674839621,47.55334681873697,42.376325565191024,40.01953492632856,39.235279447201656,36.61126521675163
4,52.33411094466249,49.40477931006426,40.073611225240384,37.16988586638908,36.7462944002453,36.70944817343597
5,50.72218993346896,48.73884858893611,41.24204949361172,36.908910230601734,33.973502616412226,33.61663921337241
6,50.935863492367524,50.935863492367524,42.78102166424938,32.487120956262316,32.05675639428311,31.642876935247486
7,49.35517536162749,49.35517536162749,46.33481426201302,42.51477248951026,39.96610166698813,34.99000597792191
8,47.60877813945646,44.61055903108273,33.025297781375954,31.42821502424981,31.18724593753677,31.065221794107707
9,47.75504548724308,39.2892046918507,29.526531130615375,27.915137013650153,27.598311649867007,27.369755922366622
average,49.3560768074599,46.9424797711352,40.16054462608303,35.70219084468302,34.43405904138375,33.32995176689053
