seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,37.97764064276862,29.361524424197853,29.017989384656133,28.986606940052226,28.983933436518665,28.98141035432144
1,39.40867947094441,29.240882146948138,28.920083510021165,28.882286597608754,28.877893280495467,28.852565110881326
2,38.74560811505997,31.36265965334808,30.96757970350447,26.813149223909303,26.807445381349503,26.788039256318278
3,37.68658584834351,29.096381401819023,28.897809796102212,28.889192023252445,28.861718653434938,28.75072860616533
4,34.504247145911435,29.118068780946864,26.968906707468058,26.84172911719707,26.803492429810735,26.747658741428573
5,39.45721738398026,29.669039561679035,29.047689400734576,28.991511055894872,28.979473518455883,28.968542315427207
6,42.15591325485468,33.142805331174316,32.88760090960869,32.855657207142855,32.84252471571428,32.826870788571426
7,36.51194866171707,31.03204738085577,29.085547461156885,28.089679491090934,27.90106615581019,27.712380208331414
8,39.765753848462275,31.901413632845525,29.42640234477907,26.98803260739581,26.86719907176324,26.853835980923474
9,40.1988773427932,30.987578167302573,29.146169361051825,28.99995345203942,28.845619800299733,26.919785210761006
average,38.64124717148354,30.491240048111717,29.43657785790831,28.633779771558373,28.57703664436527,28.340181657312947
