seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,175.89093463504335,160.1847513041627,150.38696721628548,148.30299632939,146.17476805581705,144.97332248921578
1,0.0,153.6880493508154,151.19306749502798,147.01593757672526,145.51061455744883,145.51061455744883
2,176.023776270901,157.83512397515588,148.82683041258244,146.6347867450621,144.2413218211047,144.22368965777295
3,181.71207520696282,158.15073483329584,155.73234907388917,152.67367378130837,143.61309698905353,143.603816842151
4,183.13524869385083,153.34354306974325,149.62487596544491,146.55625529231222,143.7263551201142,141.73131377842424
5,172.89280144325954,154.31505083628815,149.92260897433974,144.71506017371632,144.47676550285192,140.86774200986318
6,189.27343822028126,158.64605920949703,150.22989833481608,148.05784481845433,147.01711925969468,143.86483109895659
7,168.80704728752826,155.4069289618941,149.45867416202475,142.3714884523218,141.01188044419268,140.53174292427522
8,170.33375629985682,155.95945107600204,151.79001392219325,147.79889070252253,147.75766838552696,147.75416090002128
9,0.0,162.80964603224385,146.42094695246578,146.24209784717817,142.52266211242727,142.48751117687766
average,141.8069078057684,157.0339338649098,150.358623250907,147.03690317189916,144.6052252248232,143.5548745435007
