seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.11666666666666667,0.20797034357784774,0.22065183845559053,26.478220614670864,0.0,14.0
1,0.08333333333333333,0.31916255375438024,0.24291461021052344,29.149753225262813,0.0,10.0
2,0.1,0.2840569399338302,0.2420284699669151,29.043416396029812,0.0,12.0
3,0.1,0.24630664321257606,0.22315332160628804,26.778398592754563,0.0,12.0
4,0.1,0.2706894484414988,0.2353447242207494,28.241366906489926,0.0,12.0
5,0.1,0.26893966864634583,0.23446983432317292,28.13638011878075,0.0,12.0
6,0.06666666666666667,0.25454979773318254,0.19394156553325795,23.272987863990952,0.0,8.0
7,0.11666666666666667,0.2468888397666212,0.24011108654997726,28.813330385997272,0.0,14.0
8,0.1,0.2563223087816829,0.22816115439084145,27.379338526900973,0.0,12.0
9,0.11666666666666667,0.2657167158505722,0.24952502459195278,29.943002951034334,0.0,14.0
