seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,51.16114473885163,43.79202296655642,38.15832173263678,33.47138835033178,33.25927235945487,33.231955026625535
1,52.57650533635108,43.350253338001075,38.45261249308269,33.33801795268067,33.075932628781814,33.041269657771174
2,46.77758542465531,42.204835644486174,33.061847408362084,32.842867584648154,32.82616721428571,32.825692391428575
3,51.169069140848976,51.169069140848976,43.73916471506432,37.252333528939815,36.74949114014317,34.537913204285715
4,52.253700320793136,47.66239094499591,38.13513975087216,34.99936688319832,34.96058960568013,34.95732216120355
5,49.4589911649239,45.32823242843126,37.67674791520047,35.52716837616989,33.102795821046044,33.0345394223634
6,53.24435018939231,52.43798720608956,40.633790324439275,33.38988260011516,32.848301939403136,32.79171917024357
7,52.16815119751123,52.16815119751123,47.01904460188132,42.59418138151128,38.267079126949156,36.05850783145303
8,44.73657592336565,44.73657592336565,44.1558859690869,37.83876042061553,37.70355766315669,35.698846585966294
9,45.27872947111587,45.085390795256956,36.86699034953912,33.14840997460135,32.96465976218023,32.94724103875912
average,49.882480290780904,46.79349095855432,39.789954526016516,35.44023770528119,34.5757847261081,33.91250064901
