seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,27.153160228670046,21.60277937266229,18.61592969858394,18.582308993728788,18.53884238372879,18.53401863230022
1,27.490361520855213,19.54916658589438,18.98917082720917,18.979259284310235,18.640086027577087,18.54202208696671
2,28.015267323969084,22.260998791637586,20.58821295547172,19.053097119662553,18.63699206062517,18.444639914858968
3,24.801901568164553,20.096611828250985,20.041243823557593,18.660200054636462,18.535143714997055,18.456436452139915
4,28.736748021320672,22.88144019298101,20.91216570519922,20.486154948177784,20.455078965387944,18.859083899518996
5,27.889814938747918,20.777792097413972,20.281159224044785,19.22587979912142,18.598919014696165,18.5112362534918
6,25.536377797974374,22.022483600136592,20.195579463904146,18.923898034250914,18.54693905317769,18.476505009349427
7,31.821386679152404,19.11871720253331,18.817717686933314,18.786772766797167,18.575180543673547,18.52014229228359
8,27.333935010871826,22.36985541874939,20.584923245139585,19.29275093939206,18.444588804143073,18.44447674557164
9,28.701086906189133,19.847683908512657,19.041115694545518,18.88771891778194,18.791629442735676,18.447897941009867
average,27.74800399959152,21.052752899877216,19.806721832458898,19.08780408578593,18.77634000107422,18.523645922749115
