seed,generation_0,generation_200,generation_400,generation_600,generation_800,generation_1000
0,84.56166996559122,76.72016235200394,72.75931394792497,71.7716399624752,63.97892202957243,61.334717832714325
1,83.03440122027128,79.16871972088545,73.00153172357744,66.04943555155056,59.455546473963985,59.2523595436137
2,80.36040642324714,74.37914053734185,65.98625445474705,63.10990138689778,62.941112793753454,62.7823915310272
3,84.05698723813924,81.47888400696563,76.39803839726598,57.11160797436901,56.618273615432315,56.496307756236256
4,79.74609366691871,63.61099343988497,56.936972318855,56.654644292055785,56.611408837453006,56.60387102968711
5,80.76296529044912,80.76296529044912,65.99901798001262,63.5816204211422,63.27671423065414,61.08168843500759
6,79.09604603046196,78.02015622135629,72.42882242930109,71.51565580176971,67.44706769215486,66.80430029549909
7,82.62304670160717,72.62285048177228,59.13681452760773,57.06692556219373,57.0324485437595,57.02123461049704
8,81.07096254556669,75.91824880600558,67.35395403577498,64.99061056005995,60.76197403749433,60.58366805188607
9,78.35900207063399,78.35900207063399,76.82497571538487,76.82497571538487,76.82497571538487,74.0271988782886
average,81.36715811528865,76.10411229272991,68.68256955304517,64.86770172278987,62.4948443969623,61.5987737964457
