seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.2222222222222222,0.1816130771770551,0.37873660262759706,45.44839231531165,0.0,40.0
1,0.2222222222222222,0.18759326851022992,0.3802316504608908,45.6277980553069,0.0,40.0
2,0.2222222222222222,0.1686042275235092,0.3754843902142106,45.05812682570527,0.0,40.0
3,0.2111111111111111,0.3001209231868104,0.3916968974633692,47.00362769560431,0.0,38.0
4,0.25555555555555554,0.14836896630013596,0.4204255749083673,50.45106898900408,0.0,46.0
5,0.23333333333333334,0.1687403400015278,0.39218508500038196,47.06221020004583,0.0,42.0
6,0.2222222222222222,0.2961358351002945,0.40736729210840694,48.884075053008836,0.0,40.0
7,0.2111111111111111,0.2870824211167558,0.38843727194585564,46.612472633502676,0.0,38.0
8,0.2111111111111111,0.28748976729707415,0.3885391084909352,46.624693018912225,0.0,38.0
9,0.23333333333333334,0.2417775403352115,0.4104443850838029,49.25332621005634,0.0,42.0
