User,TaskType,Selected_BS_List
1,eMBB,6G_2 + WiFi_2
2,eMBB,6G_2 + WiFi_3
3,eMBB,6G_1 + WiFi_2
4,eMBB,6G_1 + WiFi_1
5,eMBB,6G_1 + WiFi_2
6,eMBB,6G_1 + WiFi_2
7,eMBB,6G_1 + WiFi_3
8,eMBB,6G_2 + WiFi_1
9,eMBB,6G_1 + WiFi_1
10,eMBB,6G_2 + WiFi_2
11,eMBB,6G_2 + WiFi_4
12,eMBB,6G_2 + WiFi_4
13,eMBB,6G_2 + WiFi_2
14,eMBB,6G_2 + WiFi_1
15,eMBB,6G_1 + WiFi_4
16,eMBB,6G_1 + WiFi_1
17,eMBB,6G_1 + WiFi_3
18,eMBB,6G_1 + WiFi_3
19,eMBB,6G_2 + WiFi_2
20,eMBB,6G_1 + WiFi_3
21,eMBB,Satellite_1
22,eMBB,Satellite_1
23,eMBB,Satellite_1
24,eMBB,Satellite_1
25,eMBB,Satellite_2
26,eMBB,Satellite_2
27,eMBB,Satellite_1
28,eMBB,Satellite_2
29,eMBB,Satellite_1
30,eMBB,Satellite_2
31,eMBB,Satellite_2
32,eMBB,Satellite_1
33,eMBB,Satellite_2
34,eMBB,Satellite_2
35,eMBB,Satellite_2
36,eMBB,Satellite_1
37,eMBB,Satellite_2
38,eMBB,Satellite_1
39,eMBB,Satellite_2
40,eMBB,Satellite_1
41,eMBB,6G_1 + WiFi_1
42,eMBB,6G_2 + WiFi_3
43,eMBB,6G_2 + WiFi_4
44,eMBB,6G_2 + WiFi_2
45,eMBB,6G_2 + WiFi_4
46,eMBB,6G_2 + WiFi_3
47,eMBB,6G_2 + WiFi_4
48,eMBB,6G_2 + WiFi_3
49,eMBB,6G_1 + WiFi_1
50,eMBB,6G_2 + WiFi_4
51,eMBB,6G_2 + WiFi_4
52,eMBB,6G_1 + WiFi_2
53,eMBB,6G_2 + WiFi_4
54,eMBB,6G_1 + WiFi_2
55,eMBB,6G_2 + WiFi_4
56,eMBB,6G_1 + WiFi_3
57,eMBB,6G_1 + WiFi_3
58,eMBB,6G_1 + WiFi_1
59,eMBB,6G_1 + WiFi_1
60,eMBB,6G_1 + WiFi_1
