User,TaskType,Selected_BS
1,URLLC,6G_1
2,URLLC,6G_2
3,URLLC,6G_1
4,URLLC,6G_2
5,URLLC,6G_1
6,URLLC,6G_2
7,URLLC,6G_2
8,URLLC,6G_1
9,URLLC,6G_1
10,URLLC,6G_2
11,URLLC,6G_2
12,URLLC,6G_2
13,URLLC,6G_1
14,URLLC,6G_1
15,URLLC,6G_1
16,URLLC,6G_1
17,URLLC,6G_1
18,URLLC,6G_1
19,URLLC,6G_2
20,URLLC,6G_2
21,URLLC,Satellite_1
22,URLLC,Satellite_1
23,URLLC,Satellite_1
24,URLLC,Satellite_2
25,URLLC,Satellite_2
26,URLLC,Satellite_2
27,URLLC,Satellite_2
28,URLLC,Satellite_2
29,URLLC,Satellite_1
30,URLLC,Satellite_2
31,URLLC,Satellite_1
32,URLLC,Satellite_2
33,URLLC,Satellite_1
34,URLLC,Satellite_2
35,URLLC,Satellite_2
36,URLLC,Satellite_1
37,URLLC,Satellite_2
38,URLLC,Satellite_1
39,URLLC,Satellite_1
40,URLLC,Satellite_1
41,URLLC,6G_1
42,URLLC,6G_1
43,URLLC,WiFi_4
44,URLLC,6G_1
45,URLLC,6G_2
46,URLLC,6G_1
47,URLLC,6G_1
48,URLLC,6G_2
49,URLLC,WiFi_4
50,URLLC,6G_2
51,URLLC,WiFi_2
52,URLLC,6G_2
53,URLLC,6G_1
54,URLLC,6G_1
55,URLLC,6G_1
56,URLLC,6G_2
57,URLLC,WiFi_2
58,URLLC,6G_2
59,URLLC,6G_2
60,URLLC,6G_2
