User,TaskType,Selected_BS,CommDelay_s,Deadline_s,CPU_Time_s,Residual_Deadline_for_MH_s,OnTime_Under_MH
1,URLLC,6G_1,5.658519971229885e-05,8.980448183344789e-05,1.7622e-05,3.321928212114904e-05,0
2,URLLC,6G_1,3.541377311946868e-05,8.054012009577284e-05,1.1088e-05,4.512634697630416e-05,1
3,URLLC,6G_1,7.754746752861925e-05,6.391981511004268e-05,2.3958e-05,-1.3627652418576573e-05,0
4,URLLC,6G_2,6.858583625942713e-05,9.33441522702289e-05,2.1318e-05,2.4758316010801774e-05,0
5,URLLC,6G_2,4.617098869289208e-05,9.138113643157095e-05,1.4652e-05,4.521014773867888e-05,0
6,URLLC,6G_1,2.9137665226551526e-05,7.895583062542294e-05,9.042e-06,4.981816539887141e-05,1
7,URLLC,6G_2,5.124752521291531e-05,8.871219295120517e-05,1.584e-05,3.746466773828986e-05,0
8,URLLC,6G_1,5.6356619640179824e-05,6.969884485019365e-05,1.7292e-05,1.3342225210013827e-05,0
9,URLLC,6G_1,7.980560569109553e-05,6.212224065901318e-05,2.5344e-05,-1.7683365032082347e-05,0
10,URLLC,6G_1,2.5586838761721013e-05,8.07314113387778e-05,7.986e-06,5.514457257705679e-05,1
11,URLLC,sat2,1.3416902042411769e-05,5.126245819329164e-05,9.768e-06,3.7845556150879873e-05,1
12,URLLC,sat2,1.3465636518261172e-05,7.032839108418164e-05,9.504e-06,5.686275456592046e-05,1
13,URLLC,sat1,2.326932989568475e-05,9.258864137135872e-05,1.6368e-05,6.931931147567397e-05,0
14,URLLC,sat1,3.449164459636754e-05,7.770121890722985e-05,2.4024e-05,4.320957431086231e-05,0
15,URLLC,sat2,3.119317747587727e-05,7.100832666160931e-05,2.211e-05,3.981514918573204e-05,0
16,URLLC,sat1,2.3911257196086723e-05,7.561059525020907e-05,1.65e-05,5.169933805412235e-05,0
17,URLLC,sat2,2.2900397835806024e-05,7.87850898490783e-05,1.6434e-05,5.588469201327228e-05,0
18,URLLC,sat1,2.192906698477861e-05,7.08778133234202e-05,1.5774e-05,4.8948746338641584e-05,0
19,URLLC,sat1,1.7439716954409734e-05,5.22900466426301e-05,1.2276e-05,3.485032968822037e-05,0
20,URLLC,sat2,3.464039445832764e-05,8.536162368302502e-05,2.4288e-05,5.072122922469738e-05,0
21,URLLC,sat1,3.4708332711464194e-05,8.905565089756297e-05,2.4684e-05,5.434731818609878e-05,0
22,URLLC,sat1,2.1677886024434007e-05,6.456526884609575e-05,1.5378e-05,4.288738282166175e-05,0
23,URLLC,sat2,3.0223565870461605e-05,9.795575813068476e-05,2.1978e-05,6.773219226022316e-05,0
24,URLLC,sat1,2.517467953826236e-05,6.928624871980769e-05,1.8414e-05,4.411156918154533e-05,0
25,URLLC,sat2,1.0860914973663614e-05,9.841143743431988e-05,7.326e-06,8.755052246065627e-05,1
26,URLLC,sat2,2.8815722825524168e-05,6.580410467189486e-05,1.9668e-05,3.698838184637069e-05,0
27,URLLC,sat1,3.691973432593566e-05,5.787265357402352e-05,2.607e-05,2.095291924808786e-05,0
28,URLLC,sat1,2.582434066218384e-05,5.12295536279982e-05,1.8348e-05,2.540521296581436e-05,0
29,URLLC,sat2,1.3123473993038498e-05,5.952241986757467e-05,9.438e-06,4.639894587453617e-05,1
30,URLLC,sat2,1.9377299370070208e-05,8.150359953532421e-05,1.3332e-05,6.2126300165254e-05,0
