User,TaskType,Selected_BS_List,CommDelay_s,CloudCompletion_SPTF_s,TotalDelay_s,Deadline_s
1,eMBB,6G_1 + WiFi_1,0.0144450850466888,0.0630333942857142,0.0774784793324031,2.0
2,eMBB,6G_2 + WiFi_4,0.0145978436582838,0.0582454242857142,0.0728432679439981,2.0
3,eMBB,6G_1 + WiFi_1,0.0120270671730536,0.0265271442857142,0.0385542114587679,2.0
4,eMBB,6G_1 + WiFi_1,0.0154312469242942,0.0828809142857143,0.0983121612100085,2.0
5,eMBB,6G_1 + WiFi_2,0.0146601232663026,0.0534683442857142,0.0681284675520169,2.0
6,eMBB,6G_1 + WiFi_1,0.0146559987984992,0.0678323014285714,0.0824883002270706,2.0
7,eMBB,6G_2 + WiFi_1,0.0127536446619827,0.0306901885714285,0.0434438332334112,2.0
8,eMBB,6G_2 + WiFi_2,0.0162283507805279,0.10930392,0.1255322707805279,2.0
9,eMBB,6G_1 + WiFi_4,0.0181197479815649,0.14341734,0.1615370879815649,2.0
10,eMBB,6G_2 + WiFi_3,0.0118988660080165,0.0225339557142857,0.0344328217223022,2.0
11,eMBB,sat1,0.0084741130747866,0.0072981857142857,0.0157722987890724,2.0
12,eMBB,sat1,0.0106965445923791,0.0439978628571428,0.0546944074495219,2.0
13,eMBB,sat1,0.0129848223450545,0.1258969328571428,0.1388817552021974,2.0
14,eMBB,sat1,0.0115191141221999,0.07782918,0.0893482941221999,2.0
15,eMBB,sat2,0.0123823617572458,0.1147306757142857,0.1271130374715316,2.0
16,eMBB,sat2,0.0123052050202504,0.0933665228571428,0.1056717278773933,2.0
17,eMBB,sat1,0.010124348935188,0.0393610328571428,0.0494853817923309,2.0
18,eMBB,sat1,0.0083631330281291,0.00362274,0.0119858730281291,2.0
19,eMBB,sat1,0.0114417563347448,0.07278579,0.0842275463347449,2.0
20,eMBB,sat2,0.0098975690582175,0.0349754742857142,0.0448730433439318,2.0
21,eMBB,6G_1 + WiFi_1 + sat1,0.0075858749305943,0.1316788628571428,0.1392647377877372,2.0
22,eMBB,6G_1 + WiFi_1 + sat1,0.0072613360287221,0.1202949,0.1275562360287221,2.0
23,eMBB,6G_2 + WiFi_2 + sat1,0.0049820062480299,0.0147341228571428,0.0197161291051728,2.0
24,eMBB,6G_1 + WiFi_3 + sat2,0.0070429942126589,0.0986416671428571,0.1056846613555161,2.0
25,eMBB,6G_1 + WiFi_3 + sat2,0.0076211952444904,0.1374777642857143,0.1450989595302047,2.0
26,eMBB,6G_1 + WiFi_3 + sat1,0.006906416823061,0.0880928871428571,0.0949993039659182,2.0
27,eMBB,6G_2 + WiFi_2 + sat1,0.0064176905531976,0.0487236985714285,0.0551413891246262,2.0
28,eMBB,6G_2 + WiFi_2 + sat2,0.0069187123543619,0.1039468885714285,0.1108656009257905,2.0
29,eMBB,6G_1 + WiFi_4 + sat1,0.0048793901007375,0.0109963071428571,0.0158756972435946,2.0
30,eMBB,6G_2 + WiFi_2 + sat2,0.0050725415859689,0.0185989414285714,0.0236714830145404,2.0
